"authorFollowersCount","authorFullName","authorProfileId","authorProfileUrl","authorType","commentsCount","image","isRepost","likesCount","postedAtISO","postedAtTimestamp","text","timeSincePosted","title","url","urn"
"589K","AU SMALL FINANCE BANK","aubank","https://www.linkedin.com/company/aubank/","Company","7",,"false","225","2023-03-25T12:29:25.253Z","1679747365253","ATMs are built for your convenience; this one is for your protection.

#AUSmallFinanceBank #BadlaavHumseHai #SafeBanking #staysafe","1yr","Safe Banking","https://www.linkedin.com/feed/update/urn:li:activity:7045371093070557184?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7045371093070557184%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29","urn:li:activity:7045371093070557184"
"290K","Jana Small Finance Bank","jana-small-financebank","https://www.linkedin.com/company/jana-small-financebank/","Company","1","https://media.licdn.com/dms/image/D4D22AQFhQodxaT5GCw/feedshare-shrink_2048_1536/0/1683812642228?e=1712188800&v=beta&t=2ovI5drzvkHK02OjHOHPq3cicAaQ202mvk9qJbau1C8","false","121","2023-05-11T13:44:03.916Z","1683812643916","Mom's money management skills are unmatched. Don't you agree? 
Celebrate her this Mother's Day with #MomsMoneyMantras, a series of financial advices by Mothers around us.

#JanaBank #JanaSFB #mothersday #mothers #motherslove #financialfreedom #financialwisdom #money #moneymantras","10mo",,"https://www.linkedin.com/feed/update/urn:li:activity:7062422107627880450?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7062422107627880450%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29","urn:li:activity:7062422107627880450"
"56K","India Post Payments Bank","india-post-paymentsbank","https://www.linkedin.com/company/india-post-paymentsbank/","Company","2","https://media.licdn.com/dms/image/C4D22AQGkea6Alhe03Q/feedshare-shrink_2048_1536/0/1677573846054?e=1712188800&v=beta&t=SRGDm7GxMU8g1eVp-n2xmV8ajGm5vm76sjjDEJUhMik","false","28","2023-02-28T08:44:06.785Z","1677573846785","The future of digital payments is here. With India Post Payments Bank Virtual Debit Card, enter the world of convenience of smart banking. Download the app today – Android (http://bitly.ws/AE4I) , iOS (http://bitly.ws/AE4V)

#Aapkabankaapkedwaar #Bankingatlastmile ","1yr",,"https://www.linkedin.com/feed/update/urn:li:activity:7036254695866179584?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7036254695866179584%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29","urn:li:activity:7036254695866179584"
"56K","India Post Payments Bank","india-post-paymentsbank","https://www.linkedin.com/company/india-post-paymentsbank/","Company","5","https://media.licdn.com/dms/image/C4D22AQErMqw6UZ_aJw/feedshare-shrink_2048_1536/0/1679560638897?e=1712188800&v=beta&t=LaAWSW0Sajd87qMvHe2Z8NxcxT_GhwweG9Vp8Y1h1iQ","false","33","2023-03-23T08:37:19.807Z","1679560639807","Opening a new savings account just got simpler. With India Post Payments Bank, open your new savings account today through your fingerprint with Aadhaar authentication in a hassle-free way. For more details, visit your nearest post office right away. 

Place your doorstep banking service request at -
https://lnkd.in/dRvu4uqw
#Aapkabankaapkedwaar #Bankingatlastmile  ","1yr",,"https://www.linkedin.com/feed/update/urn:li:activity:7044587909785477120?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7044587909785477120%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29","urn:li:activity:7044587909785477120"
"290K","Jana Small Finance Bank","jana-small-financebank","https://www.linkedin.com/company/jana-small-financebank/","Company","1","https://media.licdn.com/dms/image/D4D22AQF_IiA4817nvw/feedshare-shrink_2048_1536/0/1685169068389?e=1712188800&v=beta&t=gfYNC59TIF-KrHtDxsRa-cMvVhNX-oo6Hf27u3OTLjQ","false","160","2023-05-27T06:31:10.087Z","1685169070087","Now earn higher interest on Fixed Deposits with Jana SFB’s NRI Fixed Deposits!

With key features like attractive interest rates and flexible interest payout options, it is an ideal investment for your hard-earned money.

Call 080-68131056 or visit us at https://rb.gy/a9fah

#JanaBank #JanaSFB #Banking #EasyBanking #SecuredBanking #NRIFixedDeposits #Investment #Saving #InterestRate #NRI","10mo",,"https://www.linkedin.com/feed/update/urn:li:activity:7068111371342688256?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7068111371342688256%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29","urn:li:activity:7068111371342688256"
"589K","AU SMALL FINANCE BANK","aubank","https://www.linkedin.com/company/aubank/","Company","1","https://media.licdn.com/dms/image/D5612AQHFLhz9qyfEtg/article-cover_image-shrink_600_2000/0/1701746602026?e=1715212800&v=beta&t=S1Sgo4PYevnjYYjpDlQ9aCj7HsCnh5kqk1U4vQPF5Tc","true","51","2023-12-05T07:02:04.025Z","1701759724025","“Genuine diversity and inclusion do not necessarily imply unanimous agreement on every matter. It is the team’s ability to adjust according to each individuals’ strengths and the larger objective.” Read this article by Ms. Priyanka Sarin  Vice President Product - Life Insurance, AU Small Finance Bank for insights into diversity and teamwork.

#DiversityandInclusion #TeamBuilding","3mo","Too Many Cooks Spoil the Broth: Navigating the Complex Symphony of Diversity & Teamwork","https://www.linkedin.com/feed/update/urn:li:activity:7137697617517436928?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7137697617517436928%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29","urn:li:activity:7137697617517436928"
"56K","India Post Payments Bank","india-post-paymentsbank","https://www.linkedin.com/company/india-post-paymentsbank/","Company","2","https://media.licdn.com/dms/image/D4D22AQGfB3F6o8A5bw/feedshare-shrink_2048_1536/0/1680167275807?e=1712188800&v=beta&t=cpawpvwKfk9qt7Ju6AiscWyEZGj01oZa1W4ddpZcOa8","false","23","2023-03-30T09:07:57.639Z","1680167277639","Now bank comes to you for your daily banking needs. With India Post Payments Bank, get everything done at your doorstep through your trusted Postmen/ Gramin Dak Sevaks. Avail our doorstep banking service today!

Click here to avail doorstep service -
https://lnkd.in/dRvu4uqw

#Aapkabankaapkedwaar #Bankingatlastmile   ","1yr",,"https://www.linkedin.com/feed/update/urn:li:activity:7047132333270798336?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7047132333270798336%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29","urn:li:activity:7047132333270798336"
"105K","Fino Payments Bank Ltd","finopaymentsbank","https://www.linkedin.com/company/finopaymentsbank/","Company","13","https://media.licdn.com/dms/image/D4D22AQHJ6TVO95wLPg/feedshare-shrink_2048_1536/0/1706706957834?e=1712188800&v=beta&t=elIyNPCwDir27IQ2oZ_qs5FNJm62S4sTKmiRd9zKtbw","false","243","2024-01-31T13:15:59.271Z","1706706959271","""Q3 FY24 has been an exceptional quarter with sustained profitability."" Said Rishi Gupta, MD & CEO, Fino Payments Bank as the bank registers the highest profitable quarter in its history. It achieved 94% of previous year profitability in 9 months and crossed 1 crore customer base milestone!
#FikarNot #DigitalBanking #profitability #milestone  #securebanking  ","1mo",,"https://www.linkedin.com/feed/update/urn:li:activity:7158447826098610177?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7158447826098610177%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29","urn:li:activity:7158447826098610177"
"290K","Jana Small Finance Bank","jana-small-financebank","https://www.linkedin.com/company/jana-small-financebank/","Company","21","https://media.licdn.com/dms/image/D4D22AQEKuRzROQEWQA/feedshare-shrink_2048_1536/0/1680424586420?e=1712188800&v=beta&t=ILlz9FNlUrxXBs11ySpqypf0qG3ZLsY_eJTNsjOadZY","false","757","2023-04-02T08:37:02.216Z","1680424622216","Watch the esteemed Stalwarts from the Banking Industry come together to celebrate #5YearsOfJanaBank. 

In picture- Mr. Ajay Kanwal MD & CEO, Jana Small Finance Bank 

Dr. Subhash C Khuntia, Part-time Chairman, Jana Small Finance Bank

Mr. KV Kamath- India’s Leading Financial Expert

#Agraga #JanaSmallFinanceBank","1yr",,"https://www.linkedin.com/feed/update/urn:li:activity:7048211714659483649?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7048211714659483649%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29","urn:li:activity:7048211714659483649"
"56K","India Post Payments Bank","india-post-paymentsbank","https://www.linkedin.com/company/india-post-paymentsbank/","Company","2","https://media.licdn.com/dms/image/D4D22AQHRKSRh0f8V4w/feedshare-shrink_2048_1536/0/1679906944907?e=1712188800&v=beta&t=7uOR9MB-uIAhfxPlLwpfHlh2wu_WKIlbK3o8WmxAKqA","false","25","2023-03-27T08:49:07.914Z","1679906947914","Now you can open your new savings bank account with mobile number and Aadhaar authentication.
Open your savings account with India Post Payments Bank and enjoy a seamless banking experience. For more details, visit your nearest post office right away.

Place your doorstep banking service request at -  https://lnkd.in/dRvu4uqw

#Aapkabankaapkedwaar #Bankingatlastmile ","1yr",,"https://www.linkedin.com/feed/update/urn:li:activity:7046040431263891457?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7046040431263891457%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29","urn:li:activity:7046040431263891457"
