Product,Date,Campaign Name,Target Audience,Message,Creative,Total Request,Sent,Delivered,Read,Failed
DMT,23-12-2023 12:07,dmt_3,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.03% Commission, To achieve *Slab 2* Targets & *get Additional 0.04% Commission. (December 2023 Offer)",,88,88,63,45,23
Balance Buildup Debit Card,23-12-2023 12:41,balance_buildup_debit_card,Balance Buildup Base,**₹2 लाख* तक का बीमा कवर और *₹25* का अतिरिक्त कैशबैक पाने के लिए अपने कार्ड को सक्रिय रखें। साथ ही पाइये एक महीने के लिए ₹199 मूल्य का ब्रेन जिम जुनियर सब्सक्रिप्शन। - फिनो पेमेंट्स बैंक,,42462,42462,24073,14110,13594
Rekyc through Vkyc,23-12-2023 12:44,rekyc_braingym_eng,Rekyc Pending Base,"""Dear Customer,
Re-activate your Account with Fino at your convenience.
-> Log in to your account using “FinoPay” Application
-> Click on “Your profile” (Top left corner)
-> Click on “Re-KYC through V-KYC” to complete your KYC at home
And enjoy 1 month FREE “BrainGymJr subscription” worth “Rs.199”""",,82936,82936,26353,14767,49801
Christmas Bonanza,23-12-2023 15:48,christmas_bonanza,Merchant Base,"*This December*,

Earn big with Christmas Bonanza by promoting FinoPay.💵
Encourage your customers to maintain their Monthly Average Balance and get commission upto *0.45%*.✨
Refer Merchant Brochure for MAB Scheme.

*T&C Apply

- Fino Payments Bank",,56651,56651,42672,27635,10574
Bhavishya*Braingym,23-12-2023 16:07,bhavishya_renewal,Renewal Base,"पाएं तेज़ दिमाग के साथ सुरक्षित भविष्य!
फिनो की तरफ से अपने BrainGym Jr की फ्री सब्सक्रिप्शन को पाने के लिए इस मैसेज पर क्लिक करें और *FINO30* कोड का उपयोग करें ।",,23601,23601,13626,8994,7501
Bhavishya*Braingym,23-12-2023 16:09,bhavishya_new_onboarding,Newly Onboarded Base,"पाएं तेज़ दिमाग के साथ सुरक्षित भविष्य!
फिनो की तरफ से अपने BrainGym Jr की फ्री सब्सक्रिप्शन को पाने के लिए इस मैसेज पर क्लिक करें और *FINO90* कोड का उपयोग करें ।",,46148,46148,29114,20061,11428
VKYC,27-12-2023 17:10,vkyc_eng,Vkyc Pending Base,"*Now get a BookMyShow voucher worth ₹ 250!* 
Click https://digisa.finobank.com/  to complete your *Video KYC* and book your everyday entertainment. 
*T&C
*Offer valid till 31st December 2023 
- Fino Payments Bank",,37352,37352,26755,20010,4954
FinoPay OTT,27-12-2023 17:12,finopay_ott_funding,Fund Pending Base,"*Now Fund your FinoPay Savings Account to watch your favourite web series.🔥✨*

1. Get 18 OTTplay channels subscription worth ₹ 1532/- for a month in just *₹ 1/-*. 
2. Cash-back of ₹ 50/- on your 1st Bill Payment and UPI transaction using FinoPay. 
*For detailed T&C, visit our website.

- Fino Payments Bank",,142266,142266,113232,83920,13042
DMT,28-12-2023 12:05,dmt_1,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.02% Commission, To achieve *Slab 2* Targets & get Additional 0.03% Commission. (December 2023 Offer)",,265,265,181,125,70
DMT,28-12-2023 12:06,dmt_2,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.02% Commission, To achieve *Slab 2* Targets & get Additional 0.03% Commission. (December 2023 Offer)",,87,87,62,40,23
DMT,28-12-2023 12:07,dmt_3,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.03% Commission, To achieve *Slab 2* Targets & *get Additional 0.04% Commission. (December 2023 Offer)",,88,88,64,45,22
Fancode OTT,01-03-2024 11:31,"
fancode_ott_eng",CASA Dump,"Download FinoPay Now!

Make a transaction of Rs.100 or more, and unlock exclusive FANCODE OTT subscription worth Rs.250.

Here's the detailed *T&C: https://shorturl.at/kxVYZ  
Offer valid till 31st January 2024.",,118095,118095,63228,37101,37190
Bhavishya*Braingym,2024-01-03 11:27:56,bhavishya_newly_onboarded,Newly Onboarded ,"पाएं तेज़ दिमाग के साथ सुरक्षित भविष्य!
फिनो की तरफ से अपने BrainGym Jr की फ्री सब्सक्रिप्शन को पाने के लिए इस मैसेज पर क्लिक करें और *FINO90* कोड का उपयोग करें ।",,46152,46152,26275,11699,11556
Bhavishya*Braingym,2024-01-03 11:31:47,bhavishya_renewals,Renewal Pending,"पाएं तेज़ दिमाग के साथ सुरक्षित भविष्य!
फिनो की तरफ से अपने BrainGym Jr की फ्री सब्सक्रिप्शन को पाने के लिए इस मैसेज पर क्लिक करें और *FINO30* कोड का उपयोग करें ।",,23602,23602,12488,5373,7587
DMT,03-01-2024 16:21,dmt_1,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.02% Commission, To achieve *Slab 2* Targets & get Additional 0.03% Commission. (January 2023 Offer)",,274,274,185,117,75
DMT,03-01-2024 16:22,dmt_2,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.02% Commission, To achieve *Slab 2* Targets & get Additional 0.03% Commission. (January 2023 Offer)",,76,76,49,33,24
DMT,03-01-2024 16:23,dmt_3,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.03% Commission, To achieve *Slab 2* Targets & *get Additional 0.04% Commission. (January 2023 Offer)",,79,79,61,41,17
Fancode OTT,04-01-2024 11:09,fancode_ott_hindi_followup,CASA Dump,"*FinoPay डाउनलोड करें!*

100 रुपये या अधिक का ट्रांजैक्शन करें, और 250 रुपये की विशेष Fancode OTT सदस्यता अनलॉक करें। 

यहां https://shorturl.at/kxVYZ पाएं विस्तृत *नियम और शर्तें।
ऑफर  31 जनवरी 2024 तक लागू।",,118091,118091,70098,45845,37189
DMT,04-01-2024 11:11,dmt_1_followup,Merchant Base,"*डीएमटी व्यवसाय पर अतिरिक्त कमीशन!*

डीएमटी के लिए स्लैब 1 लक्ष्य प्राप्त करें और अतिरिक्त 0.02% कमीशन प्राप्त करें।, डीएमटी के लिए स्लैब 2 लक्ष्य प्राप्त करें और अतिरिक्त 0.03% कमीशन प्राप्त करें। (जनवरी 2024 ऑफर)",,274,274,185,98,75
DMT,04-01-2024 11:12,dmt_2_followup,Merchant Base,"*डीएमटी व्यवसाय पर अतिरिक्त कमीशन!*

डीएमटी के लिए स्लैब 1 लक्ष्य प्राप्त करें और अतिरिक्त 0.02% कमीशन प्राप्त करें।, डीएमटी के लिए स्लैब 2 लक्ष्य प्राप्त करें और अतिरिक्त 0.03% कमीशन प्राप्त करें। (जनवरी 2024 ऑफर)",,76,76,49,28,24
DMT,04-01-2024 11:13,dmt_3_followup,Merchant Base,"*डीएमटी व्यवसाय पर अतिरिक्त कमीशन!*

डीएमटी के लिए स्लैब 1 लक्ष्य प्राप्त करें और अतिरिक्त 0.03% कमीशन प्राप्त करें।, डीएमटी के लिए स्लैब 2 लक्ष्य प्राप्त करें और अतिरिक्त 0.04% कमीशन प्राप्त करें। (जनवरी 2024 ऑफर)",,79,79,61,33,17
DMT,05-01-2024 11:30,dmt_1,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.02% Commission, To achieve *Slab 2* Targets & get Additional 0.03% Commission. (January 2023 Offer)",,274,274,143,23,64
DMT,05-01-2024 11:32,dmt_2,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.02% Commission, To achieve *Slab 2* Targets & get Additional 0.03% Commission. (January 2023 Offer)",,76,76,38,8,11
DMT,05-01-2024 11:33,dmt_3,Merchant Base,"*Extra Commission On Dmt Business!* To achieve *Slab 1* Targets & get additional 0.03% Commission, To achieve *Slab 2* Targets & *get Additional 0.04% Commission. (January 2023 Offer)",,79,79,47,5,5
